country,country_code,year,health_exp,life_expect,maternal_mortality,infant_mortality,neonatal_mortality,under_5_mortality,prev_hiv,inci_tuberc,prev_undernourishment
Bolivia,BOL,2009,5.17444515,65.88,187,35.1,23,44.6,0.3,139,21.4
Brazil,BRA,2009,8.39480495,72.948,68,17.4,11.6,19.5,0.5,45,4.1
Barbados,BRB,2009,7.14522552,75.678,53,13.5,9.7,14.6,1.1,0.84,3.8
Brunei Darussalam,BRN,2009,2.39306617,74.846,42,8.1,4.8,9.6,,64,
Bhutan,BTN,2009,3.5476253,67.897,129,34.6,22.6,43.1,0.2,203,
Botswana,BWA,2009,6.62081194,58.279,185,45.3,24.2,61.1,22.5,557,22.3
Central African Republic,CAF,2009,4.81901121,48.648,1105,92.2,36.9,132.5,5,540,27.9
Canada,CAN,2009,10.66225815,81.06609756,13,5,3.8,5.8,0.2,5.3,2.5
Central Europe and the Baltics,CEB,2009,6.841906647,74.93036393,10,6.610925744,3.96054283,7.760274105,0.114933062,,2.772524573
Switzerland,CHE,2009,10.1415062,82.04390244,8,4,3.2,4.6,0.2,7.5,2.5
Channel Islands,CHI,2009,,80.995,,,,,,,
Chile,CHL,2009,7.25026846,78.741,24,7.6,5.3,8.8,0.3,16,3.6
China,CHN,2009,4.34958458,75.343,34,13.6,9.1,17,,81,2.9
Cote d'Ivoire,CIV,2009,4.46966648,54.394,619,74.3,36.1,106.1,3.7,207,17.6
Cameroon,CMR,2009,3.49997187,56.102,534,71.3,32.5,114.8,4.4,271,8.3
"Congo, Dem. Rep.",COD,2009,4.51133156,55.836,603,85.7,33.1,117.8,1.1,327,30.4
"Congo, Rep.",COG,2009,2.1422224,61.088,415,44.9,23.4,65.3,3.5,393,38.1
Colombia,COL,2009,7.3113451,74.742,71,16.2,10.3,19,0.4,32,11.2
Comoros,COM,2009,4.92694378,60.831,311,56.1,34.8,75,0.1,33,18.7
Cabo Verde,CPV,2009,3.88152432,73.088,58,22.1,16,26.3,0.8,82,14
Costa Rica,CRI,2009,7.86019135,78.672,26,9.4,6.6,10.7,0.3,12,2.8
Caribbean small states,CSS,2009,5.25224053,70.90500024,107,21.2373052,15.26430729,25.0368578,1.398054737,,6.842128151
Cuba,CUB,2009,12.29053974,77.548,40,5,2.9,6.3,0.3,7.3,2.5
Curacao,CUW,2009,,76.15609756,,,,,,,
Cayman Islands,CYM,2009,,,,,,,,4.4,
Cyprus,CYP,2009,6.47,79.401,30,3,2,3.6,0.1,5.3,5.5
Czechia,CZE,2009,7.24880648,77.07804878,5,2.9,1.7,3.5,0.1,7,2.5
Germany,DEU,2009,11.23791218,79.83658537,7,3.5,2.4,4.3,,5.7,2.5
Djibouti,DJI,2009,3.64194465,59.673,294,63.7,38,78.3,,519,20.8
Dominica,DMA,2009,4.98329306,72.17,,20.7,19.7,22.4,,6.5,2.8
Denmark,DNK,2009,10.67,78.59756098,7,3.6,2.8,4.2,0.1,6.1,2.5
Dominican Republic,DOM,2009,4.76337624,71.871,93,29,24.1,35.2,1.2,56,15.5
Algeria,DZA,2009,5.35939837,73.62,115,24.7,18,28.7,0.1,77,4.8
East Asia & Pacific (excluding high income),EAP,2009,4.127817586,73.64240041,90,19.10696307,12.07829606,23.82957145,,167,6.520567117
Early-demographic dividend,EAR,2009,5.021427169,67.51460866,216,42.00665243,27.88564123,53.74103392,0.787233802,,13.30280155
East Asia & Pacific,EAS,2009,6.389947015,74.52442681,87,18.1,11.5,22.6,,154,6.147428424
Europe & Central Asia (excluding high income),ECA,2009,5.562655869,71.46399175,26,20.50353163,12.5950373,23.63588901,,81,4.181937191
Europe & Central Asia,ECS,2009,9.453887365,75.68906083,16,10.7,6.5,12.5,,45,2.966450846
Ecuador,ECU,2009,5.79984474,75.184,86,16.9,9.2,19.8,0.4,40,15.2
"Egypt, Arab Rep.",EGY,2009,4.37870932,69.48,40,25,15.9,30,0.1,19,5
Euro area,EMU,2009,10.24483001,80.4506803,7,3.462365787,2.383572782,4.323837209,0.277429676,,2.547855755
Eritrea,ERI,2009,5.38878489,63.328,481,40.3,22.6,57.3,0.9,154,
Spain,ESP,2009,9.10764122,81.47560976,4,3.3,2.1,4,0.3,18,2.5
Estonia,EST,2009,6.84477043,74.82439024,9,3.9,2.3,5,0.7,31,2.5
Ethiopia,ETH,2009,4.64983416,58.804,684,57.2,39.8,87.2,1.5,282,23.9
European Union,EUU,2009,9.962918315,79.35761514,8,4.162491083,2.729751338,5.074133954,0.23161017,,2.572321973
Fragile and conflict affected situations,FCS,2009,4.464535918,59.01491046,660,66.00339935,33.66936492,101.7179412,1.799127699,,16.70258618
Finland,FIN,2009,9.16,79.7195122,7,2.6,1.7,3.2,,8.7,2.5
Fiji,FJI,2009,3.53587627,67.089,42,19.3,9.2,22.7,0.1,21,5
France,FRA,2009,11.28756237,81.41463415,10,3.1,2.3,4.3,0.3,9.4,2.5
Faroe Islands,FRO,2009,,80.33658537,,,,,,,
"Micronesia, Fed. Sts.",FSM,2009,12.55259323,71.112,46,29.1,18.8,35.4,,171,
Gabon,GAB,2009,3.83571577,63.303,212,43,24.8,64.6,4.5,563,14.6
United Kingdom,GBR,2009,10.04505444,80.05121951,10,4.6,3.1,5.4,,15,2.5
Georgia,GEO,2009,9.57,71.95,43,13.9,10.9,15.5,0.1,133,5.1
Ghana,GHA,2009,4.37879181,60.946,337,49.2,30.6,72.9,2,187,6.9
Gibraltar,GIB,2009,,81.243,,,,,,,
Guinea,GIN,2009,3.58147597,56.348,744,78,36.8,124.1,1.7,190,18.1
"Gambia, The",GMB,2009,4.46430683,60.427,647,47,33.9,76.5,1.9,180,9.7
Guinea-Bissau,GNB,2009,4.73428679,55.541,804,75.8,46.4,120.2,4,361,18.3
Equatorial Guinea,GNQ,2009,1.76790214,57.431,230,81.7,36.6,115.3,5.7,196,
Greece,GRC,2009,9.40688515,80.18780488,3,3.4,2.1,4,0.1,5.6,2.5
Grenada,GRD,2009,5.43471003,75.036,27,12.5,8.2,14.4,,5.4,
Greenland,GRL,2009,,69.7795122,,,,,,128,
Guatemala,GTM,2009,6.33938646,70.641,125,29.7,16.7,36.3,0.3,25,17.4
Guam,GUM,2009,,77.094,,,,,,71,
Guyana,GUY,2009,4.35117149,66.563,145,31,23.2,38.1,1.4,127,8.1
High income,HIC,2009,11.46248439,78.37596816,12,5.3,3.4,6.3,,25,2.782495668
"Hong Kong SAR, China",HKG,2009,,82.77512195,,,,,,84,2.5
Honduras,HND,2009,8.99592495,70.911,73,21.5,14.3,25.5,0.5,45,17.9
Heavily indebted poor countries (HIPC),HPC,2009,5.194678,58.22467454,574,63.75056728,33.18665878,97.822542,2.83567906,,23.30782395
Croatia,HRV,2009,8.08,76.16829268,9,4.8,3.7,5.7,0.1,22,2.5
Haiti,HTI,2009,3.50277376,61.741,394,59.8,29,80.9,1.7,238,43.2
Hungary,HUN,2009,7.22,73.90487805,14,5.3,3.5,6.3,,15,2.5
IBRD only,IBD,2009,5.346297736,71.16925785,123,29.33032276,19.04041739,36.89639561,,,8.344590794
IDA & IBRD total,IBT,2009,5.24751924,68.56625074,283,41.80353003,24.85792537,57.75943287,1.044891084,,10.5366283
IDA total,IDA,2009,4.060703564,60.43975435,548,62.46798655,34.49583469,92.32338397,1.922292827,,17.68837713
IDA blend,IDB,2009,3.432864343,58.67515533,625,71.20992066,39.71514621,103.8453044,,,13.30909232
Indonesia,IDN,2009,2.62324095,68.494,241,28.9,17.9,35.1,0.3,345,15.1
IDA only,IDX,2009,4.603871593,61.33551354,507,57.8436083,31.73488152,86.22842632,1.872801753,,20.06482522
Isle of Man,IMN,2009,,78.681,,,,,,,
India,IND,2009,3.49,66.513,207,48.7,33,61.3,0.3,283,15.3
Not classified,INX,2009,,,,,,,,,
Ireland,IRL,2009,10.52275658,80.1902439,7,3.6,2.5,4.3,0.1,11,2.5
"Iran, Islamic Rep.",IRN,2009,6.11493444,72.698,37,17.5,13.2,20.4,0.1,17,6.4
Iraq,IRQ,2009,3.77203989,66.446,126,29.4,20.4,35.9,0.1,46,14.7
Iceland,ISL,2009,8.78,81.75121951,3,2.2,1.4,2.7,0.1,3.2,2.5
Israel,ISR,2009,6.92,81.40487805,3,3.8,2.4,4.7,,5.5,2.5
Italy,ITA,2009,8.95,81.63658537,7,3.4,2.4,4.1,0.3,7.8,2.5
Jamaica,JAM,2009,5.14654493,72.124,95,16.3,15.3,19.1,1.4,6.2,9
Jordan,JOR,2009,9.22396946,73.801,50,17.7,12.2,20.8,0.1,6.7,6.3
Japan,JPN,2009,8.96,82.93146341,6,2.4,1.2,3.3,,21,3
Kazakhstan,KAZ,2009,3.5,68.39,23,20.1,13.5,22.5,,152,3.8
Kenya,KEN,2009,5.26973343,60.365,464,37.4,21.9,55.2,5.7,566,24.4
Kyrgyz Republic,KGZ,2009,6.9,69.10243902,71,27.9,17.7,31.7,0.1,128,8.2
Cambodia,KHM,2009,7.58330584,67.444,277,40.2,22.5,47.4,0.9,452,12.3
Kiribati,KIR,2009,13.49,64.892,127,45.6,23.7,58.9,,326,6.4
St. Kitts and Nevis,KNA,2009,5.28673744,71.393,,15.5,12.2,18.2,,9.8,
"Korea, Rep.",KOR,2009,5.65905666,79.96829268,9,3.7,1.8,4.3,,95,2.5
Kuwait,KWT,2009,2.70638776,77.442,10,9.5,5.6,11,0.1,38,2.5
Latin America & Caribbean (excluding high income),LAC,2009,7.602530406,73.31346297,80,19.18220389,11.67807051,22.7633119,0.453784186,46,7.323483831
Lao PDR,LAO,2009,3.46300411,63.273,330,53.6,29.5,71.1,0.3,230,17.8
Lebanon,LBN,2009,7.0073576,77.889,19,11.1,7.6,12.8,0.1,11,7.1
Liberia,LBR,2009,11.57163811,59.194,638,74.1,33.9,103.4,1.7,288,30.3
Libya,LBY,2009,3.5828805,72.356,56,15,9.4,17.6,0.1,40,6.3
St. Lucia,LCA,2009,5.24410772,72.722,80,16.1,12.6,18,,6.8,
Latin America & Caribbean,LCN,2009,7.565962295,73.49804219,80,18.6,11.4,22.1,0.462814225,44,6.976860426
Least developed countries: UN classification,LDC,2009,4.467416452,60.52954128,533,60.76232022,33.06490897,91.36171969,1.982387444,,21.66108687
Low income,LIC,2009,5.417724233,59.24367801,576,64.1,33.8,98.1,2.191010593,228,24.92850399
Liechtenstein,LIE,2009,,81.5,,,,,,,
Sri Lanka,LKA,2009,4.06,69.187,39,13.6,6.6,20.8,0.1,66,10.2
Lower middle income,LMC,2009,3.84581945,65.13096022,337,50.4,31,68.5,0.743203734,276,14.46239751
Low & middle income,LMY,2009,5.155566593,68.44803948,289,42.61669296,25.34880258,58.92277131,1.066332684,201,11.03575415
Lesotho,LSO,2009,8.95305061,44.034,1096,69.1,37.5,100.1,24.2,1230,
Late-demographic dividend,LTE,2009,5.463104282,74.32937239,42,14.29344533,9.410354977,17.43976843,,,4.395109769
Lithuania,LTU,2009,7.37,72.91463415,10,5.4,3.1,6.7,0.1,69,2.5
Luxembourg,LUX,2009,6.95,80.63658537,8,2.4,1.5,2.9,0.2,6.2,2.5
Latvia,LVA,2009,6.1,73.0804878,23,6.9,4.5,8.3,0.4,51,2.5
"Macao SAR, China",MAC,2009,,83.276,,,,,,72,12
St. Martin (French part),MAF,2009,,78.236,,,,,,,
Morocco,MAR,2009,5.27312183,70.458,144,28.4,20.3,33.1,0.1,99,4.9
Monaco,MCO,2009,4.84195948,,,3.3,2.2,4.1,,1.2,
Moldova,MDA,2009,13.68,69.573,19,14.9,12.8,17.3,0.6,125,17.2
Madagascar,MDG,2009,4.38469839,62.734,507,49,25.4,72.6,0.1,244,29
Maldives,MDV,2009,10.09,77.069,68,12.8,8.3,14.9,0.1,35,
Middle East & North Africa,MEA,2009,4.821811898,71.73649009,72,23.5,15.8,28.4,0.1,36,7.354549467
Mexico,MEX,2009,6.12978411,74.119,51,16.9,9.1,19.8,0.3,21,4.2
Marshall Islands,MHL,2009,14.53969955,63.23,,32.2,18,39.6,,339,
Middle income,MIC,2009,5.150167608,69.36693779,236,38.63843744,23.78762099,51.66667179,0.932724682,199,9.798966763
North Macedonia,MKD,2009,6.53,74.44634146,7,9.6,7.1,10.8,0.1,27,3.3
Mali,MLI,2009,5.2122364,55.874,553,80.1,40.6,138.1,1.3,64,7.5
Malta,MLT,2009,7.92,80.24146341,6,6,4.6,6.9,0.1,11,2.5
Myanmar,MMR,2009,2.16,63.155,280,50.2,29.3,65.8,0.9,525,13.8
Middle East & North Africa (excluding high income),MNA,2009,5.280431383,71.01082807,78,25.32735822,17.06350569,30.51873926,0.1,39,7.551328285
Montenegro,MNE,2009,,75.14390244,8,6.3,4.9,7.3,0.1,21,2.5
Mongolia,MNG,2009,4.45980072,66.766,70,23.9,12.3,28.5,0.1,428,19.8
Northern Mariana Islands,MNP,2009,,,,,,,,79,
Mozambique,MOZ,2009,5.20390034,53.788,355,71.5,33.3,107.5,11.6,354,25.1
Mauritania,MRT,2009,3.11034036,62.8,590,42.5,28.8,58.4,0.5,143,7
Mauritius,MUS,2009,4.17035627,72.88243902,49,12.8,9.4,14.6,,12,5.2
Malawi,MWI,2009,5.87333822,55.448,476,54,27.5,88.1,10.7,356,14.3
Malaysia,MYS,2009,3.2610569,74.227,30,7,4.3,8.1,0.4,72,3.7
North America,NAC,2009,15.72038983,78.65485604,15,6.2,4.1,7.3,,4.4,2.5
Namibia,NAM,2009,9.04967022,55.496,459,38.8,21,52.1,13.3,974,28.5
New Caledonia,NCL,2009,,76.9804878,,,,,,24,9
Niger,NER,2009,5.33850145,57.396,644,68.5,35.1,140.9,0.4,118,16
Nigeria,NGA,2009,3.5801971,50.712,1101,85.7,38.3,138,,219,7.9
Nicaragua,NIC,2009,7.68584394,71.433,104,20.8,12.7,24.6,0.2,50,19.9
Netherlands,NLD,2009,9.99,80.54878049,7,3.8,2.9,4.6,0.2,7.8,2.5
Norway,NOR,2009,9.03,80.79512195,4,2.8,1.9,3.4,,7.8,2.5
Nepal,NPL,2009,3.9,66.761,338,39.7,29.1,50.3,0.2,320,11.5
Nauru,NRU,2009,12.31575871,59.123,,30.9,24.3,37.9,,46,
New Zealand,NZL,2009,9.62076378,80.70243902,10,5.2,3.1,6.3,0.1,8,2.5
OECD members,OED,2009,11.65857709,78.91658708,20,7.879480612,4.781143137,9.318916436,,,3.024009793
Oman,OMN,2009,2.4694581,74.681,21,10.2,5.3,11.9,0.1,14,7.5
Other small states,OSS,2009,5.936641836,69.72286578,248,35.0941432,18.83779915,46.68095296,3.909968506,,10.98949113
Pakistan,PAK,2009,2.47458911,64.14,243,71.6,50.6,89.3,0.1,276,15.2
Panama,PAN,2009,7.24006367,76.343,54,16.2,10.7,19,0.8,54,11.5
Peru,PER,2009,4.96515894,73.466,80,16.4,10.1,21.1,0.4,138,9.3
Philippines,PHL,2009,4.16,70.633,105,23.7,14,30.2,0.1,528,12.2
Palau,PLW,2009,10.30605984,,,19.4,10.5,19.7,,117,
Papua New Guinea,PNG,2009,2.32937527,62.788,289,46.2,27.1,59.9,0.7,432,28.4
Poland,POL,2009,6.59,75.69512195,3,5.5,3.8,6.3,0.1,23,2.5
Pre-demographic dividend,PRE,2009,4.280928723,56.27169735,679,68.99765069,33.4398706,107.5128609,3.232939219,,19.78592429
Puerto Rico,PRI,2009,,77.877,22,,,,,1.9,
"Korea, Dem. People's Rep.",PRK,2009,,69.732,131,24.1,16.6,30.9,,513,41.3
Portugal,PRT,2009,10.13,78.72682927,10,3.1,2.1,3.9,0.6,30,2.5
Paraguay,PRY,2009,5.52496862,71.635,104,22.4,14.2,26.6,0.3,44,2.7
West Bank and Gaza,PSE,2009,,72.608,47,19.4,13.6,22.8,,1.1,
Pacific island small states,PSS,2009,5.344948338,68.01634061,87,22.22004007,11.05375634,26.92303888,,,7.215582915
Post-demographic dividend,PST,2009,11.95599472,79.47006756,11,4.908841083,3.217356889,5.881432657,,,2.579858092
French Polynesia,PYF,2009,,80.665,,,,,,23,4.1
Qatar,QAT,2009,2.38356304,77.878,11,8,4.9,9.4,0.1,45,
Romania,ROU,2009,5.28,73.3097561,21,11.1,5.7,13,0.1,115,2.5
Russian Federation,RUS,2009,5.64,68.68463415,19,8.6,4.5,10.7,,89,2.5
Rwanda,RWA,2009,7.80694866,61.958,401,47.1,24.5,69.6,3.7,95,36.1
South Asia,SAS,2009,3.372095242,66.25256706,248,51.8,35.8,65.2,0.252433036,273,15.19295426
Saudi Arabia,SAU,2009,4.29042768,75.431,17,11.2,6.7,13,0.1,18,6.6
Sudan,SDN,2009,6.39496326,62.644,394,51.3,32.5,76.7,0.1,121,
Senegal,SEN,2009,3.841573,63.923,471,44.3,27.7,70.1,0.6,134,10.7
Singapore,SGP,2009,3.39853096,81.24146341,8,2.2,1.2,2.8,,35,
Solomon Islands,SLB,2009,6.60598898,68.466,146,22.8,11,27.2,,88,13.1
Sierra Leone,SLE,2009,9.68422222,52.626,901,110.8,41.3,168.1,1.7,318,33.5
El Salvador,SLV,2009,8.83749676,71.576,36,17.2,9.6,20.2,0.5,35,9.3
San Marino,SMR,2009,6.18409586,,,2.6,1.3,2.8,,0,
Somalia,SOM,2009,,51.853,951,98.2,44.4,161.1,,286,71.3
Serbia,SRB,2009,9.34623528,73.98536585,15,6.7,4.9,7.8,0.1,32,2.5
Sub-Saharan Africa (excluding high income),SSA,2009,5.293368823,56.19087458,660,67.0420266,32.92651266,104.8075761,4.935316614,333,19.25798728
South Sudan,SSD,2009,,53.891,1118,72.8,44.4,114.7,2.4,,
Sub-Saharan Africa,SSF,2009,5.292127073,56.1925689,669,67,32.9,104.8,4.935316614,333,19.25626
Small states,SST,2009,5.792559495,69.69524293,201,30.77667824,16.93799447,39.99902478,,,9.813374904
Sao Tome and Principe,STP,2009,7.24220848,65.116,157,29.8,16.8,39.4,1.1,78,14.5
Suriname,SUR,2009,4.97810316,69.505,153,21.1,15.4,23.8,1.4,43,7.8
Slovak Republic,SVK,2009,7.95,74.9097561,5,5.9,3.3,7.1,0.1,9.7,4.9
Slovenia,SVN,2009,8.54,78.97073171,7,2.8,1.9,3.4,0.1,11,2.5
Sweden,SWE,2009,8.77,81.35121951,5,2.6,1.6,3.1,,7.1,2.5
Eswatini,SWZ,2009,8.63292217,44.639,783,61.4,26.2,98.3,27.5,1590,17
Sint Maarten (Dutch part),SXM,2009,,75.441,,,,,,,
Seychelles,SYC,2009,3.54135323,73.08292683,10,12.1,8.7,14,,18,3.2
Syrian Arab Republic,SYR,2009,3.5464704,73.853,20,16.3,10.1,19,0.1,24,5.2
Turks and Caicos Islands,TCA,2009,,77.164,,5.3,4.1,7.7,,27,
Chad,TCD,2009,4.44166946,49.196,1311,85.7,38.2,151.6,1.6,148,26.2
East Asia & Pacific (IDA & IBRD countries),TEA,2009,4.128054357,73.69262343,90,19.05110566,12.02771298,23.75040385,,,6.07314403
Europe & Central Asia (IDA & IBRD countries),TEC,2009,5.790843285,71.09445726,22,15.71365482,9.423164166,18.3386166,,,3.402182481
Togo,TGO,2009,4.07616663,57.011,518,59.8,30.1,91.6,2.9,77,21.2
Thailand,THA,2009,3.61939645,75.842,37,11.3,7.2,13.1,1.7,188,10.4
Tajikistan,TJK,2009,5.86,68.039,31,38.2,21,44.4,0.1,141,27.3
Turkmenistan,TKM,2009,2.84764099,67.958,10,38,23.3,44.1,,79,4.3
Latin America & the Caribbean (IDA & IBRD countries),TLA,2009,7.501637115,73.38642732,81,18.79319604,11.53705332,22.26378769,0.46533776,,7.066349024
Timor-Leste,TLS,2009,7.30931807,64.854,416,60.6,28.4,74,0.1,498,24.3
Middle East & North Africa (IDA & IBRD countries),TMN,2009,5.280431383,70.9934731,78,25.42104446,17.11824894,30.64073959,0.1,,7.551328285
Tonga,TON,2009,3.92779636,70.012,103,11.5,5.6,13.4,,8.6,
South Asia (IDA & IBRD),TSA,2009,3.372095242,66.25256706,245,51.71636612,35.79402474,65.27949491,0.252433036,,15.19295426
Sub-Saharan Africa (IDA & IBRD countries),TSS,2009,5.292127073,56.1925689,660,67.03926205,32.92529364,104.8030069,4.935316614,,19.25626
Trinidad and Tobago,TTO,2009,5.48676443,73.126,45,20.5,14.7,23,1.4,23,9
Tunisia,TUN,2009,5.40595293,75.267,47,16.4,12.7,19.1,0.1,26,3.6
Turkiye,TUR,2009,5.49,74.765,22,16.4,9.4,19.2,,27,2.5
Tuvalu,TUV,2009,12.26670933,63.949,,27,17.3,32.7,,199,
Tanzania,TZA,2009,5.06306362,58.894,556,47.3,24.7,72.5,5.6,452,24.7
Uganda,UGA,2009,5.78845549,56.488,391,52.3,26.2,81.5,6.3,213,19.7
Ukraine,UKR,2009,6.61,69.19,17,10.6,7.2,12.3,,115,2.5
Upper middle income,UMC,2009,5.490994165,73.5143852,76,17.6,10.9,21.8,,123,5.238147342
Uruguay,URY,2009,7.9498806,76.738,18,9.7,5.1,11.3,0.4,24,2.5
United States,USA,2009,16.20063591,78.3902439,15,6.4,4.2,7.5,,4.3,2.5
Uzbekistan,UZB,2009,4.8,68.871,38,29,18,33.1,,101,4.8
St. Vincent and the Grenadines,VCT,2009,4.09299564,75.083,45,19.4,13.1,21.6,,9.6,6.3
"Venezuela, RB",VEN,2009,,72.579,110,14.7,10.1,17,0.6,29,2.5
British Virgin Islands,VGB,2009,,75.26,,13.6,8.4,15.7,,2.8,
Virgin Islands (U.S.),VIR,2009,,77.51463415,,,,,,,
Viet Nam,VNM,2009,4.48502922,73.498,61,18.7,11.8,23.3,0.4,239,11.4
Vanuatu,VUT,2009,3.25197887,69.653,88,20.8,10.5,24.6,,72,6.1
World,WLD,2009,9.834143583,70.35630139,263,38.5,22.9,53.1,0.7,168,9.1
Samoa,WSM,2009,5.12732029,70.066,62,18.7,7.8,25.4,,9.6,3.6
Kosovo,XKX,2009,,77.665,,19.5,14.6,21.7,,,
"Yemen, Rep.",YEM,2009,5.98619986,67.196,155,44.7,27.9,57.5,0.1,55,22.2
South Africa,ZAF,2009,7.64941454,57.447,225,40,12.6,60,17.2,1260,4.1
Zambia,ZMB,2009,5.15718842,55.3,327,52.8,27.3,83.1,13.4,514,44.1
Zimbabwe,ZWE,2009,,48.063,670,54.7,32.7,90.2,15.8,450,26.6
Aruba,ABW,2010,,75.404,,,,,,6.9,
Africa Eastern and Southern,AFE,2010,6.445274354,58.4103157,507,57.63014072,29.96187873,85.64311749,5.940581158,,23.52485102
Afghanistan,AFG,2010,8.56967163,60.851,899,64.6,48.7,88.4,0.1,189,19.4
Africa Western and Central,AFW,2010,3.512146521,54.50046583,839,75.23178501,35.62061138,121.7033074,,,12.05705767
Angola,AGO,2010,2.69509959,56.726,367,75.5,35.9,119.6,1.9,384,22.8
Albania,ALB,2010,6.23667669,77.936,9,11.9,6.6,13.3,0.1,17,5.4
Andorra,AND,2010,7.67537737,,,4.3,2.3,4.6,,10,
Arab World,ARB,2010,3.927048954,69.86290765,169,31.54476316,19.65905032,42.16488312,0.103367227,,10.27303552
United Arab Emirates,ARE,2010,3.87873054,78.334,9,7,3.6,8.8,0.1,2.2,7.1
Argentina,ARG,2010,9.44546413,75.721,55,12.9,7.6,14.5,0.4,21,3.6
Armenia,ARM,2010,9.24,73.16,33,16.6,9.7,18.6,0.1,61,2.7
American Samoa,ASM,2010,,,,,,,,8.3,
Antigua and Barbuda,ATG,2010,5.37907028,76.82,31,10,7.1,11.9,,9.4,
Australia,AUS,2010,8.42025661,81.69512195,5,4,2.8,4.8,0.1,6.5,2.5
Austria,AUT,2010,10.22,80.5804878,6,3.6,2.5,4.3,,9.1,2.5
Azerbaijan,AZE,2010,2.65,69.529,33,32.7,20.3,37.5,0.1,104,2.5
Burundi,BDI,2010,11.28196716,57.081,608,59.2,28.4,90.7,1.6,144,
Belgium,BEL,2010,10.20229435,80.18292683,6,3.7,2.3,4.5,0.2,11,2.5
Benin,BEN,2010,3.00988984,58.363,598,69.4,33.9,108.7,1.2,68,9.8
Burkina Faso,BFA,2010,5.23958349,56.477,357,68,30.9,121.1,1.1,58,15.1
Bangladesh,BGD,2010,2.28807664,68.638,301,38.9,29.5,49.1,0.1,221,15.2
Bulgaria,BGR,2010,7.1,73.51219512,10,9,5.1,10.8,0.1,41,4.8
Bahrain,BHR,2010,4.08934975,78.748,20,7.4,3.2,8.7,,23,
"Bahamas, The",BHS,2010,5.25594234,72.731,79,13.3,8,15.4,1.6,9.7,
Bosnia and Herzegovina,BIH,2010,9.02,77.073,8,5.8,4.9,6.7,,45,2.5
Belarus,BLR,2010,5.66,70.40487805,3,4.3,1.8,5.6,0.2,68,2.5
Belize,BLZ,2010,4.49519491,72.272,33,16.1,10.3,18.7,1.4,52,5.4
Bermuda,BMU,2010,,80.499,,,,,,1.8,
Bolivia,BOL,2010,5.20230532,66.162,184,33.3,22,42,0.3,135,20.1
Brazil,BRA,2010,7.94516611,73.182,64,16.6,11.1,18.6,0.5,44,3.5
Barbados,BRB,2010,6.77094746,75.712,53,13.3,9.6,14.4,1.1,2.5,3
Brunei Darussalam,BRN,2010,2.27826095,74.849,42,8.1,4.8,9.7,,69,
Bhutan,BTN,2010,3.55879498,68.43,117,32.6,21.6,40.2,0.2,234,
Botswana,BWA,2010,6.26718187,60.013,156,45.6,24.4,58.7,22.3,518,22
Central African Republic,CAF,2010,3.56699872,49.255,1052,90.5,36.4,128.8,4.9,540,24.7
Canada,CAN,2010,10.67611408,81.32219512,12,5,3.8,5.7,0.2,4.6,2.5
Central Europe and the Baltics,CEB,2010,6.895576643,75.29396578,9,6.171280333,3.771384233,7.336752445,0.116094831,,2.802301244
Switzerland,CHE,2010,9.93353558,82.24634146,8,3.9,3.1,4.6,0.2,7.5,2.5
Channel Islands,CHI,2010,,81.12,,,,,,,
Chile,CHL,2010,6.81958437,78.501,23,7.5,5.3,8.7,0.3,16,3.7
China,CHN,2010,4.23068333,75.599,33,12.5,8.3,15.7,,76,2.5
Cote d'Ivoire,CIV,2010,4.41577387,55.023,604,72.3,35.5,102.5,3.5,196,16.6
Cameroon,CMR,2010,3.57742167,56.582,527,68.8,32.1,110.5,4.3,260,6.2
"Congo, Dem. Rep.",COD,2010,3.72224283,56.417,601,83.4,32.3,113.7,1.1,327,29.6
"Congo, Rep.",COG,2010,1.85172856,61.683,389,43.2,22.9,62.3,3.5,386,40.5
Colombia,COL,2010,7.07130146,75.033,71,15.7,9.9,18.4,0.4,32,11.3
Comoros,COM,2010,4.99181557,61.123,316,54.6,34.1,72.7,0.1,33,17.3
Cabo Verde,CPV,2010,4.47555733,73.499,54,21.4,15.5,25.4,0.8,87,14.1
Costa Rica,CRI,2010,8.02937794,78.67,27,9.2,6.5,10.5,0.3,13,3
Caribbean small states,CSS,2010,5.247895647,71.08359128,101,20.98020194,15.09240935,24.66137362,1.423252589,,6.915598184
Cuba,CUB,2010,10.6880827,77.661,41,4.9,2.8,6.2,0.3,8.5,2.5
Curacao,CUW,2010,,,,,,,,3.7,
Cayman Islands,CYM,2010,,82.1902439,,,,,,8.5,
Cyprus,CYP,2010,6.5,79.665,27,2.8,1.9,3.4,0.1,6.2,3.6
Czechia,CZE,2010,7.58647251,77.42439024,4,2.7,1.7,3.4,0.1,6.8,2.5
Germany,DEU,2010,11.09592915,79.98780488,6,3.5,2.3,4.2,0.1,5.5,2.5
Djibouti,DJI,2010,3.35966682,60.259,274,62,37.3,75.9,,561,19.9
Dominica,DMA,2010,5.15711927,71.55,,21.5,20.3,23.1,,13,3.8
Denmark,DNK,2010,10.61,79.1,7,3.5,2.8,4.1,0.1,6.9,2.5
Dominican Republic,DOM,2010,4.92355442,72.093,92,28.9,24.3,35.1,1.2,51,13.5
Algeria,DZA,2010,5.11716986,73.808,112,23.9,17.7,27.8,0.1,78,4.1
East Asia & Pacific (excluding high income),EAP,2010,4.0208766,73.86837244,86,18.09912123,11.42308786,22.58599301,,162,5.920868817
